þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
;;VLE MONTE GRAPPA N. 14 (z.d. 9);VLE;MONTE GRAPPA;14;1101;9;;;;"Bar gastronomici e simili;Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý E SIMILI";72
;;VLE MONTE NERO N. 12 ubicazione esercizio v.le monte nero  12 con ingresso anche da via lattuada s.n.c. (z.d. 4);VLE;MONTE NERO;12;3062;4;;;;Genere Merceol.Autorizz.Sanit.;56
;;VLE MONTE NERO N. 23 (z.d. 1);VLE;MONTE NERO;23;3062;1;;;;Ristorante;
;;VLE MONTE NERO N. 28 (z.d. 4);VLE;MONTE NERO;28;3062;4;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Tavola fredda";38
;;VLE MONTE NERO N. 29 (z.d. 1);VLE;MONTE NERO;29;3062;1;;;;"Ristorante;BAR CAFFÿý;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";83
;;VLE MONTE NERO N. 50 (z.d. 4);VLE;MONTE NERO;50;3062;4;;;;Ristorante, trattoria, osteria;61
;;VLE MONTE NERO N. 5 (z.d. 1);VLE;MONTE NERO;5;3062;1;;;;Genere Merceol.Autorizz.Sanit.;24
;;VLE MONTE NERO N. 5 (z.d. 1);VLE;MONTE NERO;5;3062;1;;;;"Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý";31
;;VLE MONTE NERO N. 6 (z.d. 4);VLE;MONTE NERO;6;3062;4;;;;Genere Merceol.Autorizz.Sanit.;50
;;VLE MONZA N. 114 (z.d. 2);VLE;MONZA;114;2274;2;;;;"Pizzeria;Pizzerie e simili;Ristorante, trattoria, osteria;Ristorante";60
;;VLE MONZA N. 116 (z.d. 2);VLE;MONZA;116;2274;2;;;;"Gelateria;BAR CAFFÿý;Bar pasticc.gelat.crem.creper.";21
;;VLE MONZA N. 140 (z.d. 2);VLE;MONZA;140;2274;2;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";60
;;VLE MONZA N. 142 (z.d. 2);VLE;MONZA;142;2274;2;;;;Ristorante, trattoria, osteria;31
;;VLE MONZA N. 18 (z.d. 2);VLE;MONZA;18;2274;2;;;;Bar gastronomici e simili;65
;;"VLE MONZA N. 270 con ingresso in via columella; (z.d. 2)";VLE;MONZA;270;2274;2;;;;Ristorante, trattoria, osteria;41
;;VLE MONZA N. 36 (z.d. 2);VLE;MONZA;36;2274;2;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Bar pasticc.gelat.crem.creper.";46
;;VLE MONZA N. 37 (z.d. 2);VLE;MONZA;37;2274;2;;;;"Pizzerie e simili;Ristorante, trattoria, osteria";50
;;VLE MONZA N. 56 (z.d. 2);VLE;MONZA;56;2274;2;;;;Pizzerie e simili;16
;;VLE MONZA N. 81 (z.d. 2);VLE;MONZA;81;2274;2;;;;Ristorante;
;;VLE MONZA N. 91 (z.d. 2);VLE;MONZA;91;2274;2;;;;Bar pasticc.gelat.crem.creper.;15
;;VLE ORIONE DON LUIGI N. 20 (z.d. 2);VLE;ORIONE DON LUIGI;20;2378;2;;;;BAR CAFFÿý;65
;;VLE ORIONE DON LUIGI N. 20 (z.d. 2);VLE;ORIONE DON LUIGI;20;2378;2;;;;"Spaccio bevande analcoliche;Ristorante";
;;VLE ORIONE DON LUIGI N. 20 (z.d. 2);VLE;ORIONE DON LUIGI;20;2378;2;;;;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Cibi cotti preconfezionati";56
;;VLE ORTLES N. 31 (z.d. 5);VLE;ORTLES;31;4133;5;;;;Pizzerie e simili;596
;;VLE ORTLES N. 62 (z.d. 5);VLE;ORTLES;62;4133;5;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";233
;;VLE PAPA ACHILLE N. 30 (z.d. 8);VLE;PAPA ACHILLE;30;6469;8;;;;Bar gastronomici e simili;208
;;VLE PAPA ACHILLE N. 30 (z.d. 8);VLE;PAPA ACHILLE;30;6469;8;;;;Bar pasticc.gelat.crem.creper.;90
;;VLE PAPINIANO N. 16 (z.d. 1);VLE;PAPINIANO;16;5097;1;;;;"Pizzerie e simili;Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Pizzeria;Terza Bottiglia;BAR CAFFÿý";172
;;VLE PASUBIO N. 14 (z.d. 9);VLE;PASUBIO;14;1112;9;;;;"Pizzerie e simili;Ristorante, trattoria, osteria";170
;;"VLE PASUBIO N. 16 ; isolato:313; accesso: accesso esterno; (z.d. 9)";VLE;PASUBIO;16;1112;9;solo somministrazione;somministrazione;;Genere Merceol.Autorizz.Sanit.;45
;;VLE PIAVE N. 8 (z.d. 3);VLE;PIAVE;8;2179;3;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI";26
;;VLE PIRELLI PIERO E ALBERTO N. 14 (z.d. 9);VLE;PIRELLI PIERO E ALBERTO;14;1727;9;;;;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Bar pasticc.gelat.crem.creper.;Bar gastronomici e simili";41
;;VLE PIRELLI PIERO E ALBERTO N. 14 (z.d. 9);VLE;PIRELLI PIERO E ALBERTO;14;1727;9;;;;"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý;Ristorante, trattoria, osteria";217
;;VLE PIRELLI PIERO E ALBERTO N. 16 (z.d. 9);VLE;PIRELLI PIERO E ALBERTO;16;1727;9;;;;"BAR CAFFÿý;Pizzeria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante;Bar gastronomici e simili;Pizzerie e simili";258
;;VLE PIRELLI PIERO E ALBERTO N. 16 (z.d. 9);VLE;PIRELLI PIERO E ALBERTO;16;1727;9;;;;"Pizzeria;Cibi cotti preconfezionati;Bar gastronomici e simili;Pizzerie e simili";28
;;VLE PIRELLI PIERO E ALBERTO N. 16 (z.d. 9);VLE;PIRELLI PIERO E ALBERTO;16;1727;9;;;;Ristorante, trattoria, osteria;158
;;VLE PIRELLI PIERO E ALBERTO N. 16 (z.d. 9);VLE;PIRELLI PIERO E ALBERTO;16;1727;9;;;;"Ristorante, trattoria, osteria;Disco-piano-americ.bar serali";113
;;VLE PREMUDA N. 16 (z.d. 4);VLE;PREMUDA;16;3063;4;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";58
;;VLE PREMUDA N. 17 (z.d. 1);VLE;PREMUDA;17;3063;1;;;;Ristorante, trattoria, osteria;71
;;VLE PREMUDA N. 44 (z.d. 4);VLE;PREMUDA;44;3063;4;;;;Genere Merceol.Autorizz.Sanit.;77
;;VLE REGINA GIOVANNA N. 24 (z.d. 3);VLE;REGINA GIOVANNA;24;2157;3;;;;Genere Merceol.Autorizz.Sanit.;80
;;VLE REGINA GIOVANNA N. 26 (z.d. 3);VLE;REGINA GIOVANNA;26;2157;3;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";70
;;VLE REGINA GIOVANNA N. 26 (z.d. 3);VLE;REGINA GIOVANNA;26;2157;3;;;;"Wine,birr.,pub enot.,caff.,the;Bar gastronomici e simili";44
;;"VLE REGINA GIOVANNA num.024/a ; (z.d. 3)";VLE;REGINA GIOVANNA;;2157;3;;;;Genere Merceol.Autorizz.Sanit.;169
;;VLE REGINA MARGHERITA N. 30 (z.d. 1);VLE;REGINA MARGHERITA;30;3059;1;;;;Bar pasticc.gelat.crem.creper.;82
;;VLE RESTELLI FRANCESCO N. 3 (z.d. 9);VLE;RESTELLI FRANCESCO;3;1163;9;;;;Genere Merceol.Autorizz.Sanit.;299
;;VLE ROMAGNA N. 10 (z.d. 3);VLE;ROMAGNA;10;3102;3;;;;BAR GELATERIA;23
;;VLE ROMAGNA N. 37 (z.d. 3);VLE;ROMAGNA;37;3102;3;;;;"BAR CAFFÿý;Tavola fredda;Bar gastronomici e simili;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI";32
;;VLE ROMAGNA N. 39 (z.d. 3);VLE;ROMAGNA;39;3102;3;;;;Genere Merceol.Autorizz.Sanit.;
;;VLE SABOTINO N. 13 (z.d. 5);VLE;SABOTINO;13;4046;5;;;;BAR PASTICCERIA;69
;;VLE SABOTINO N. 16 (z.d. 5);VLE;SABOTINO;16;4046;5;;;;Genere Merceol.Autorizz.Sanit.;114
;;VLE SABOTINO N. 20 (z.d. 5);VLE;SABOTINO;20;4046;5;;;;"Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";105
;;"VLE SAN GIMIGNANO num.008/a ; (z.d. 6)";VIA;CASALE;5;5118;6;;;;Bar pasticc.gelat.crem.creper.;57
;;VLE SAN MICHELE DEL CARSO N. 3 (z.d. 1);VLE;SAN MICHELE DEL CARSO;3;6212;1;;;;"Pizzerie e simili;Ristorante, trattoria, osteria";105
;;VLE SARCA N. 163 (z.d. 9);VLE;SARCA;163;1427;9;;;;"Tav.calde,self service,fast f.;Tavola calda;BAR CAFFÿý;BAR CAFFÿý E SIMILI";82
;;VLE SARCA N. 191 (z.d. 9);VLE;SARCA;191;1427;9;;;;Genere Merceol.Autorizz.Sanit.;26
;;VLE SARCA N. 91 (z.d. 9);VLE;SARCA;91;1427;9;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Tavola fredda;Pizzeria";47
;;"VLE SARCA num.000 ; (z.d. 9)";PLE;LUGANO;35;1238;9;;;;"BAR CAFFÿý;Ristorante";
;;"VLE SARCA num.336/f ; (z.d. 9)";VIA;MENABREA LUIGI FEDERICO;20;1322;9;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";110
;;VLE SAURO NAZARIO N. 5 (z.d. 2);VLE;SAURO NAZARIO;5;1175;2;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria;Ristorante;BAR CAFFÿý";29
;;VLE SAURO NAZARIO N. 9 (z.d. 2);VLE;SAURO NAZARIO;9;1175;2;;;;Bar gastronomici e simili;58
;;VLE SERRA RENATO N. 65 (z.d. 8);VLE;SERRA RENATO;65;6426;8;;;;Bar gastronomici e simili;24
;;VLE STEFINI EVARISTO N. 2 (z.d. 2);VLE;STEFINI EVARISTO;2;1405;2;;;;"Tavola fredda;Prodotti di gastronomia;BAR CAFFÿý;BAR CAFFÿý E SIMILI";56
;;VLE STELVIO N. 18 (z.d. 9);VLE;STELVIO;18;1227;9;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili";32
;;VLE STELVIO N. 47 (z.d. 9);VLE;STELVIO;47;1227;9;;;;Genere Merceol.Autorizz.Sanit.;930
;;VLE STELVIO N. 65 (z.d. 9);VLE;STELVIO;65;1227;9;;;;"Tavola fredda;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Disco-piano-americ.bar serali";110
;;"VLE STELVIO N. 66 con ingresso da via valtellina; isolato:101; (z.d. 9)";VLE;STELVIO;66;1227;9;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria;Ristorante;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";178
;;VLE STELVIO N. 66 (z.d. 9);VLE;STELVIO;66;1227;9;;;;"Pizzerie e simili;Ristorante, trattoria, osteria";86
;;VLE STELVIO N. 72 (z.d. 9);VLE;STELVIO;72;1227;9;;;;Genere Merceol.Autorizz.Sanit.;60
;;"VLE STURZO DON LUIGI N. 41 con 2ÿýingr.v.di tocqueville 3; (z.d. 9)";VLE;STURZO DON LUIGI;41;1704;9;;;;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Pizzerie e simili;BAR CAFFÿý E SIMILI;Pizzeria";76
;;VLE TEODORICO N. 13 (z.d. 8);VLE;TEODORICO;13;7160;8;;;;Bar gastronomici e simili;56
;;VLE TEODORICO N. 18 (z.d. 8);VLE;TEODORICO;18;7160;8;;;;Genere Merceol.Autorizz.Sanit.;588
;;VLE TEODORICO N. 4 (z.d. 8);VLE;TEODORICO;4;7160;8;;;;Bar gastronomici e simili;34
;;VLE TESTI FULVIO N. 177 (z.d. 9);VLE;TESTI FULVIO;177;1441;9;;;;"Ristorante, trattoria, osteria;Pizzerie e simili";52
;;VLE TESTI FULVIO N. 186 (z.d. 9);VLE;TESTI FULVIO;186;1441;9;;;;Genere Merceol.Autorizz.Sanit.;17
;;VLE TESTI FULVIO N. 29 (z.d. 9);VLE;TESTI FULVIO;29;1441;9;;;;"Ristorante;Ristorante, trattoria, osteria";159
;;VLE TIBALDI N. 18 (z.d. 5);VLE;TIBALDI;18;5234;5;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Pizzerie e simili";38
;;VLE TIBALDI N. 40 (z.d. 5);VLE;TIBALDI;40;5234;5;;;;Ristorante, trattoria, osteria;66
;;VLE TIBALDI N. 8 (z.d. 5);VLE;TIBALDI;8;5234;5;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Ristorante, trattoria, osteria;Ristorante";413
;;VLE TOSCANA N. 19 (z.d. 5);VLE;TOSCANA;19;4210;5;;;;"Ristorante, trattoria, osteria;Ristorante";44
;;VLE TOSCANA N. 19 (z.d. 5);VLE;TOSCANA;19;4210;5;;;;"Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý";140
;;VLE TOSCANA N. 9 (z.d. 5);VLE;TOSCANA;9;4210;5;;;;Ristorante, trattoria, osteria;41
;;"VLE TUNISIA N. 30 ; accesso: accesso esterno; (z.d. 2)";VLE;TUNISIA;30;2121;2;solo somministrazione;somministrazione;al banco;Bar pasticc.gelat.crem.creper.;46
;;VLE UMBRIA N. 101 (z.d. 4);VLE;UMBRIA;101;3145;4;;;;"BAR CAFFÿý;Tavola fredda;Bar gastronomici e simili;Cibi cotti preconfezionati";30
;;VLE UMBRIA N. 109 (z.d. 4);VLE;UMBRIA;109;3145;4;;;;Genere Merceol.Autorizz.Sanit.;37
;;VLE UMBRIA N. 118 (z.d. 4);VLE;UMBRIA;118;3145;4;;;;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý E SIMILI;BAR CAFFÿý";88
;;VLE UMBRIA N. 120 (z.d. 4);VLE;UMBRIA;120;3145;4;;;;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Terza Bottiglia;Ristorante;Ristorante, trattoria, osteria";236
;;VLE UMBRIA N. 27 (z.d. 4);VLE;UMBRIA;27;3145;4;;;;"Tavola calda;BAR CAFFÿý";
;;VLE UMBRIA N. 50 (z.d. 4);VLE;UMBRIA;50;3145;4;;;;"BAR CAFFÿý;Ristorante, trattoria, osteria;Ristorante;BAR CAFFÿý E SIMILI";97
;;VLE UMBRIA N. 66 (z.d. 4);VLE;UMBRIA;66;3145;4;;;;Bar gastronomici e simili;23
;;VLE UNGHERIA N. 10 (z.d. 4);VLE;UNGHERIA;10;3357;4;;;;"Tavola calda;BAR CAFFÿý";
;;VLE UNGHERIA N. 20 (z.d. 4);VLE;UNGHERIA;20;3357;4;;;;"Giochi Legge 388/2000;Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý;Cibi cotti preconfezionati";21
;;VLE UNGHERIA N. 24 (z.d. 4);VLE;UNGHERIA;24;3357;4;;;;"BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý;Bar gastronomici e simili;Prodotti di gastronomia";95
;;VLE UNGHERIA N. 28 (z.d. 4);VLE;UNGHERIA;28;3357;4;;;;"BAR CAFFÿý;Tavola fredda;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.";60
;;VLE VITTORIO VENETO N. 32 (z.d. 2);VLE;VITTORIO VENETO;32;2107;2;;;;"Tav.calde,self service,fast f.;Ristorante, trattoria, osteria";162
;;VLE ZARA N. 145 (z.d. 9);VLE;ZARA;145;1170;9;;;;"BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";29
;;VLE ZARA N. 61 (z.d. 9);VLE;ZARA;61;1170;9;;;;"Bar gastronomici e simili;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Tavola calda";46
;;VLE ZARA N. 61 (z.d. 9);VLE;ZARA;61;1170;9;;;;Genere Merceol.Autorizz.Sanit.;104
;bar caffe;"VIA CHIESE N. 60 con ingresso in viale sarca; accesso: accesso esterno; (z.d. 9)";VIA;CHIESE;60;1627;9;solo somministrazione;somministrazione;misto;"Tavola fredda;Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";136
;bar caffe;"VIA PACINI GIOVANNI N. 18 ; isolato:072; accesso: accesso esterno; (z.d. 3)";VIA;PACINI GIOVANNI;18;2571;3;solo somministrazione;somministrazione;al banco;"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Ristorante, trattoria, osteria";85
;bar caffe;"VIA PALMANOVA N. 147 ; isolato:253; accesso: accesso esterno; (z.d. 2)";VIA;PALMANOVA;147;2390;2;solo somministrazione;somministrazione;al banco;"Tavola fredda;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati";155
;bar caffe in panetteria;"VIA BIXIO NINO N. 21 ; isolato:150; accesso: accesso esterno; (z.d. 3)";VIA;BIXIO NINO;21;3133;3;solo somministrazione;somministrazione;al banco;"Pizzerie e simili;Genere Merceol.Autorizz.Sanit.;Pizzeria;BAR CAFFÿý;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI";51
;bar caffe  int.hotel;"VLE ISONZO N. 14 c/o hotel; isolato:197; accesso: accesso esterno; (z.d. 5)";VLE;ISONZO;14;4211;5;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";110
;bar caffe  tad;"VIA STATUTO N. 12 ; isolato:175; accesso: accesso esterno; (z.d. 1)";VIA;STATUTO;12;1029;1;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Cibi cotti preconfezionati;BAR CAFFÿý;Tavola fredda";53
;bar del sole;"VIA PADOVA N. 143 ; isolato:261; accesso: accesso esterno; (z.d. 2)";VIA;PADOVA;143;2275;2;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÿý;Pizzeria;Tavola fredda";32
;bar in vendita auto-moto;"VIA GRAZIANO IMPERATORE N. 33 ; accesso: accesso esterno; (z.d. 9)";VIA;GRAZIANO IMPERATORE;33;1524;9;solo somministrazione;somministrazione;al banco;"Pizzeria;Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";177
;bar pizzeria gastronomia;"VLE BLIGNY N. 15 ; isolato:088; accesso: accesso esterno; (z.d. 5)";VLE;BLIGNY;15;4045;5;solo somministrazione;somministrazione;al banco;"Ristorante, trattoria, osteria;Bar gastronomici e simili";56
;bar sunflower;"CSO MAGENTA N. 78 ;via verri pietro 008; isolato:315; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;78;604;1;somministrazione/minuto;somministrazione;al banco;Ristorante, trattoria, osteria;45
;bar tav.fredda caffetteri;"PLE SUSA N. 4 ; isolato:213; accesso: accesso esterno; (z.d. 4)";PLE;SUSA;4;3101;4;solo somministrazione;somministrazione;al banco;"Tavola fredda;Cibi cotti preconfezionati;Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Bar gastronomici e simili";41
;bar trattoria;"CSO VENTIDUE MARZO N. 30 ; isolato:260; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;30;3074;4;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Trattoria;BAR CAFFÿý;Tavola fredda;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI;Bar gastronomici e simili";23
;bar trattoria;"VIA RUCELLAI BERNARDO N. 50 ; isolato:068; accesso: accesso esterno; (z.d. 2)";VIA;RUCELLAI BERNARDO;50;2345;2;solo somministrazione;somministrazione;misto;"Tavola fredda;BAR CAFFÿý;Bar gastronomici e simili;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";59
;cleopatra sas;"VIA ORNATO LUIGI N. 58 ; isolato:072; accesso: accesso esterno; (z.d. 9)";VIA;ORNATO LUIGI;58;1591;9;solo somministrazione;somministrazione;misto;Pizzerie e simili;40
;daisy bar;"VIA MENABREA LUIGI FEDERICO num.024/a ; isolato:154; accesso: accesso esterno; (z.d. 9)";VIA;MENABREA LUIGI FEDERICO;;1322;9;solo somministrazione;somministrazione;misto;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Giochi Legge 388/2000;BAR CAFFÿý;Cibi cotti preconfezionati";27
;doria grand hotel;"VIA POLIZIANO N. 11 c/o hotel; isolato:048; accesso: accesso esterno; (z.d. 8)";VIA;POLIZIANO;11;7196;8;solo somministrazione;somministrazione;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI;Bar gastronomici e simili";155
;fly pizza 3 snc;"VIA BERGAMO N. 27 ; isolato:097; accesso: accesso esterno; (z.d. 4)";VIA;BERGAMO;27;3189;4;solo somministrazione;somministrazione;misto;"Pizzerie e simili;Tav.calde,self service,fast f.;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";44
;inattiva;"CSO SEMPIONE N. 5 ; isolato:137; accesso: accesso esterno; (z.d. 1)";CSO;SEMPIONE;5;7137;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;BAR CAFFÿý;Ristorante;Pizzeria;Ristorante, trattoria, osteria";120
;licenza inattiva;"VIA KRAMER ANTONIO N. 19 ; isolato:165; accesso: accesso esterno; (z.d. 3)";VIA;KRAMER ANTONIO;19;3180;3;solo somministrazione;somministrazione;;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante";25
;pizzeria;"PZA VIGILI DEL FUOCO N. 4 ; accesso: accesso esterno; (z.d. 3)";PZA;VIGILI DEL FUOCO;4;2710;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Pizzerie e simili;Tavola fredda;Pizzeria;Ristorante, trattoria, osteria";117
;pizzeria e ristorante;"VLE FORLANINI ENRICO num.050/9 /9; isolato:045; accesso: accesso esterno; (z.d. 4)";PLE;SUSA;4;3101;4;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Pizzeria;Pizzerie e simili;Ristorante, trattoria, osteria;Pizzerie e simili;Ristorante, trattoria, osteria";72
;ristorante;"VIA CARMAGNOLA N. 3 ; isolato:273; accesso: accesso esterno; (z.d. 9)";VIA;CARMAGNOLA;3;1129;9;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";162
;ristorante;"VIA TRAIANO MARCO ULPIO N. 79 angolo via peverelli - edif. 4;ingresso via 7560 num.000; accesso: accesso esterno; (z.d. 9)";VIA;TRAIANO MARCO ULPIO;79;7157;8;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Tav.calde,self service,fast f.;Ristorante;BAR CAFFÿý";551
;ristorante int.hotel;"VIA MESSINA N. 10 c/o hotel; isolato:066; accesso: accesso interno; (z.d. 8)";VIA;MESSINA;10;7211;8;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";153
;rosticceria gastr.cinese;"VIA SOLARI ANDREA N. 23 ; isolato:025; accesso: accesso esterno; (z.d. 6)";VIA;SOLARI ANDREA;23;5111;6;solo somministrazione;somministrazione;al banco;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.";40
bar caffÿý;;"ALZ NAVIGLIO GRANDE N. 54 ; isolato:050; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO GRANDE;54;5144;6;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;BAR CAFFÿý E SIMILI";50
bar caffÿý;;"ALZ NAVIGLIO GRANDE N. 56 ; isolato:050; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO GRANDE;56;5144;6;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Ristorante, trattoria, osteria";68
bar caffÿý;;"ALZ NAVIGLIO PAVESE N. 2 ; isolato:074; (z.d. 6)";ALZ;NAVIGLIO PAVESE;2;5161;6;;;;Bar gastronomici e simili;25
bar caffÿý;;"ALZ NAVIGLIO PAVESE N. 50 ; isolato:081; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO PAVESE;50;5161;6;solo somministrazione;somministrazione;misto;"Disco-piano-americ.bar serali;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";191
bar caffÿý;;"BST DI PORTA NUOVA N. 15 ; isolato:006; accesso: accesso esterno; (z.d. 1)";BST;DI PORTA NUOVA;15;1062;1;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;Giochi Legge 388/2000;BAR CAFFÿý";38
bar caffÿý;;"CSO BUENOS AIRES N. 2 ; isolato:143; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;2;2129;3;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÿý;Tavola calda;Tavola fredda";184
bar caffÿý;;"CSO BUENOS AIRES N. 49 ; isolato:044; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;49;2129;3;somministrazione/minuto;somministrazione;al banco;"Tavola fredda;BAR CAFFÿý;Bar gastronomici e simili;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";58
bar caffÿý;;"CSO BUENOS AIRES N. 59 int. centro comm. le corti; isolato:100; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;59;2129;3;somministrazione/minuto;minuto;al banco;Ristorante;112
bar caffÿý;;"CSO BUENOS AIRES N. 75 ; isolato:007; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;75;2129;3;somministrazione/minuto;somministrazione;misto;"Pizzeria;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÿý";48
bar caffÿý;;"CSO COLOMBO CRISTOFORO N. 3 ; isolato:053; accesso: accesso esterno; (z.d. 6)";CSO;COLOMBO CRISTOFORO;3;5114;6;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.";54
