Tipo esercizio storico,Insegna,Tipo via,Nome via,Civico,Codice via,ZD,Forma commercio,Forma commercio prev,Forma vendita,Settore storico,Superficie somministrazione,Isolato,Accesso
bar-caffe',,VIA,CUSTODI PIETRO,14,5199,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili;pizzeria;bar-caffe',116, 095, accesso esterno
bar-caffe',,VIA,D'ADDA CARLO,1,5272,6,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;disco-piano-americ.bar serali;tavola fredda;cibi cotti preconfezionati;bar-caffe',106, 060, accesso esterno
bar-caffe',,VIA,DE AMICIS EDMONDO,12,574,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;tavola fredda;bar-caffe';bar gastronomici e simili;cibi cotti preconfezionati,217,,
bar-caffe',,VIA,DE AMICIS EDMONDO,33,574,1,somministrazione,somministrazione,al banco,"bar-caffe';genere merceol.autorizz.sanit.;tavola fredda;wine,birr.,pub enot.,caff.,the;bar gastronomici e simili",63, 457, accesso esterno
bar-caffe',,VIA,DE AMICIS EDMONDO,9,574,1,somministrazione,somministrazione,misto,tavola fredda;genere merceol.autorizz.sanit.;bar pasticc.gelat.crem.creper.;bar-caffe',60, 215, accesso esterno
bar-caffe',,VIA,DE CASTILLIA GAETANO,20,1123,9,somministrazione,somministrazione,al banco,"giochi legge 388/2000;bar gastronomici e simili;bar-caffe';ristorante, trattoria, osteria;trattoria",57, 294, accesso esterno
bar-caffe',,VIA,DEGLI ARCIMBOLDI,2,522,1,somministrazione,somministrazione,al banco,tavola fredda;bar-caffe',465, 444, accesso esterno
bar-caffe',,VIA,DEGLI IMBRIANI,17,1266,9,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;bar-caffe';tav.calde,self service,fast f.;bar gastronomici e simili;ristorante, trattoria, osteria",58, 078, accesso esterno
bar-caffe',,VIA,DEGLI IMBRIANI,30,1266,9,somministrazione,somministrazione,al banco,"ristorante, trattoria, osteria",75, 077, accesso esterno
bar-caffe',,VIA,DEGLI IMBRIANI,31,1266,9,somministrazione,somministrazione,al tavolo,"tavola fredda;bar gastronomici e simili;genere merceol.autorizz.sanit.;wine,birr.,pub enot.,caff.,the;bar-caffe'",40, 076, accesso esterno
bar-caffe',,VIA,DEGLI ZUCCARO,11,5390,6,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';genere merceol.autorizz.sanit.,41, 138, accesso esterno
bar-caffe',,VIA,DEGLI ZUCCARO,5,5390,6,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda,21, 142, accesso esterno
bar-caffe',,VIA,DEI BIANCOSPINI,1,6711,6,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda,86, 140, accesso esterno
bar-caffe',,VIA,DEI CINQUECENTO,22,4283,4,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';giochi legge 388/2000,110, 123, accesso esterno
bar-caffe',,VIA,DEI FONTANILI,55,4224,5,somministrazione,somministrazione,al banco,tavola fredda;bar-caffe';bar gastronomici e simili;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;giochi legge 388/2000,25, 041, accesso esterno
bar-caffe',,VIA,DEI GRACCHI,26,6271,7,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;tavola fredda;cibi cotti preconfezionati,145, 219, accesso esterno
bar-caffe',,VIA,DEI MARTINITT,3,6336,7,somministrazione,somministrazione,al banco,prodotti di gastronomia;bar-caffe';bar gastronomici e simili;tavola fredda,57, 218, accesso esterno
bar-caffe',,VIA,DEI PANIGAROLA,1,4284,4,somministrazione,somministrazione,al banco,spaccio bevande analcoliche;genere merceol.autorizz.sanit.,45, 128, accesso esterno
bar-caffe',,VIA,DEI PELLEGRINI,6,4028,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili,39, 118, accesso esterno
bar-caffe',,VIA,DEI PICCOLOMINI,003,6513,7,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda;tavola calda;genere merceol.autorizz.sanit.,104, 177, accesso esterno
bar-caffe',,VIA,DELLA CHIESA ROSSA,73,5321,5,somministrazione,somministrazione,misto,pizzeria;tavola fredda;genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati,59, 052, accesso esterno
bar-caffe',,VIA,DELLA MOSCOVA,15,1016,1,somministrazione,somministrazione,al banco,bar-caffe';cibi cotti preconfezionati,59, 178, accesso esterno
bar-caffe',,VIA,DELLA MOSCOVA,29,1016,1,somministrazione,somministrazione,misto,bar-caffe';genere merceol.autorizz.sanit.;prodotti di gastronomia;bar gastronomici e simili;bar pasticc.gelat.crem.creper.,52, 177, accesso esterno
bar-caffe',,VIA,DELLA MOSCOVA,47,1016,1,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar-caffe';cibi cotti preconfezionati;disco-piano-americ.bar serali;bar gastronomici e simili;tavola fredda",290, 081, accesso esterno
bar-caffe',,VIA,DELLA MOSCOVA,51,1016,1,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;prodotti di gastronomia;bar gastronomici e simili,40, 082, accesso esterno
bar-caffe',,VIA,DELL' ARCIVESCOVADO,1,309,1,somministrazione,somministrazione,al banco,bar-caffe';bar gastronomici e simili;cibi cotti preconfezionati,27, 420, accesso esterno
bar-caffe',,VIA,DELLA SPIGA,33,226,1,somministrazione,somministrazione,misto,tavola fredda;bar-caffe';bar gastronomici e simili,40, 255,
bar-caffe',,VIA,DELLE BETULLE,30,6828,7,somministrazione,somministrazione,al banco,pizzeria;bar-caffe';tavola fredda;giochi legge 388/2000,66, 240, accesso esterno
bar-caffe',,VIA,DELLE BETULLE,34,6828,7,somministrazione,somministrazione,al banco,giochi legge 388/2000;bar-caffe';genere merceol.autorizz.sanit.;tavola fredda,36, 240, accesso esterno
bar-caffe',,VIA,DELLE BETULLE,002/a,6828,7,somministrazione/minuto,somministrazione,al banco,giochi legge 388/2000;bar-caffe',58, 240, accesso esterno
bar-caffe',,VIA,DELLE FOPPETTE,2,5143,6,somministrazione/minuto,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili;cibi cotti preconfezionati;giochi legge 388/2000;bar pasticc.gelat.crem.creper.,75, 029, accesso esterno
bar-caffe',,VIA,DELLE FORZE ARMATE,197,6643,7,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;tavola fredda,57, 181, accesso esterno
bar-caffe',,VIA,DELLE FORZE ARMATE,230,6643,7,somministrazione,somministrazione,al banco,giochi legge 388/2000;bar-caffe',120, 169, accesso esterno
bar-caffe',,VIA,DELLE FORZE ARMATE,28,6643,7,somministrazione/minuto,somministrazione,al banco,tavola fredda;bar-caffe';biliardino;pizzeria;giochi legge 388/2000,87, 200, accesso esterno
bar-caffe',,VIA,DELLE FORZE ARMATE,326,6643,7,somministrazione,somministrazione,misto,bar-caffe';giochi legge 388/2000;bar gastronomici e simili;tavola fredda,60, 140, accesso esterno
bar-caffe',,VIA,DELLE FORZE ARMATE,346,6643,7,somministrazione,somministrazione,al tavolo,pizzeria;genere merceol.autorizz.sanit.;bar-caffe';ristorante,97, 139, accesso esterno
bar-caffe',,VIA,DELLE FORZE ARMATE,41,6643,7,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.,32, 207, accesso esterno
bar-caffe',,VIA, DELLE FORZE ARMATE,2,6197,7,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,67,, accesso esterno
bar-caffe',,VIA, DELLE FORZE ARMATE,212,6265,7,somministrazione/minuto,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;bar pasticc.gelat.crem.creper.,30, 169, accesso esterno
bar-caffe',,VIA,DELL' ORSO,3,123,1,somministrazione/minuto,somministrazione,al banco,bar gastronomici e simili;tavola fredda;prodotti di gastronomia;bar-caffe',45, 311, accesso esterno
bar-caffe',,VIA,DELL' UNIONE,6,521,1,somministrazione/minuto,minuto,al banco,"ristorante, trattoria, osteria;bar-caffe';cibi cotti",34, 444, accesso esterno
bar-caffe',,VIA,DEL TORCHIO,8,556,1,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda;cibi cotti preconfezionati,75, 336, accesso esterno
bar-caffe',,VIA,DEL TURCHINO,13,3337,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe',45, 108, accesso esterno
bar-caffe',,VIA,DEL TURCHINO,27,3337,4,somministrazione,somministrazione,al banco,carte;bar-caffe';cibi cotti preconfezionati,33, 109, accesso esterno
bar-caffe',,VIA,DE MARCHI EMILIO,3,1418,2,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';tavola fredda;cibi cotti preconfezionati;genere merceol.autorizz.sanit.,48, 117, accesso esterno
bar-caffe',,VIA,DE MARCHI EMILIO,52,1418,2,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;tavola calda;bar-caffe'",192, 065, accesso esterno
bar-caffe',,VIA,DE MARCHI GHERINI AMBROGIO,2,2503,2,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda;giochi legge 388/2000,38, 135, accesso esterno
bar-caffe',,VIA,DEMONTE,3,1094,9,somministrazione,somministrazione,al banco,bar-caffe',60, 111, accesso esterno
bar-caffe',,VIA,DE SANCTIS FRANCESCO,50,5322,5,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe',30, 030, accesso esterno
bar-caffe',,VIA,DE SANCTIS FRANCESCO,74,5322,5,somministrazione/minuto,somministrazione,al banco,bar-caffe';bar pasticc.gelat.crem.creper.;bar gastronomici e simili;tavola fredda,40, 031, accesso esterno
bar-caffe',,VIA,DOMENICHINO,2,6383,7,somministrazione,somministrazione,misto,prodotti di gastronomia;bar gastronomici e simili;bar-caffe',86, 227, accesso esterno
bar-caffe',,VIA,DONATELLO,5,2214,3,somministrazione,somministrazione,misto,ristorante;bar-caffe';genere merceol.autorizz.sanit.,54, 065, accesso esterno
bar-caffe',,VIA,DON BOSCO,27,4144,4,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",104, 024, accesso esterno
bar-caffe',,VIA,DONIZETTI GAETANO,45,3030,1,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;prodotti di gastronomia;tavola fredda,148, 100, accesso esterno
bar-caffe',,VIA,DON RODRIGO,2,5416,5,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;tavola fredda,37, 085, accesso esterno
bar-caffe',,VIA,DRUSO,10,3281,4,somministrazione,somministrazione,al banco,bar-caffe';giochi legge 388/2000,60, 234, accesso esterno
bar-caffe',,VIA,DURINI,2,313,1,somministrazione,somministrazione,al banco,bar-caffe',30, 318, accesso esterno
bar-caffe',,VIA,ENNIO,15,4090,4,somministrazione/minuto,minuto,al banco,tavola fredda;bar-caffe',22, 102, accesso esterno
bar-caffe',,VIA,EUSTACHI BARTOLOMEO,15,2165,3,somministrazione,somministrazione,al banco,tavola fredda;bar-caffe';genere merceol.autorizz.sanit.,19, 090, accesso esterno
bar-caffe',,VIA,EUSTACHI BARTOLOMEO,20,2165,3,somministrazione,somministrazione,al banco,"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;ristorante",58, 091, accesso esterno
bar-caffe',,VIA,EUSTACHI BARTOLOMEO,21,2165,3,somministrazione,somministrazione,al banco,tavola fredda;cibi cotti preconfezionati;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili,69, 089, accesso esterno
bar-caffe',,VIA,EUSTACHI BARTOLOMEO,40,2165,3,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';prodotti di gastronomia;bar gastronomici e simili;bar pasticc.gelat.crem.creper.,118, 066, accesso esterno
bar-caffe',,VIA,EUSTACHI BARTOLOMEO,8,2165,3,somministrazione,somministrazione,misto,tavola fredda;bar-caffe';bar gastronomici e simili;genere merceol.autorizz.sanit.,34, 115,
bar-caffe',,VIA,FAA' DI BRUNO EMILIO,14,4095,4,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda,36, 128, accesso esterno
bar-caffe',,VIA,FAA' DI BRUNO EMILIO,5,4095,4,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda;prodotti di gastronomia;bar gastronomici e simili;genere merceol.autorizz.sanit.,43, 104, accesso esterno
bar-caffe',,VIA,FACCHINETTI CIPRIANO,2,3365,4,somministrazione,somministrazione,al banco,bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe',19, 039, accesso esterno
bar-caffe',,VIA,FARA GUSTAVO,29,1183,9,somministrazione,somministrazione,misto,cibi cotti preconfezionati;bar-caffe',52, 298,
bar-caffe',,VIA,FARA GUSTAVO,33,1183,9,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda;bar gastronomici e simili;genere merceol.autorizz.sanit.,28, 289, accesso esterno
bar-caffe',,VIA,FARA GUSTAVO,5,1183,9,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili;wine,birr.,pub enot.,caff.,the;cibi cotti preconfezionati",51, 305, accesso esterno
bar-caffe',,VIA,FARAVELLI LUIGI GIUSEPPE,8,7162,8,somministrazione,somministrazione,misto,tavola calda;cibi cotti preconfezionati;bar-caffe';genere merceol.autorizz.sanit.,139, 339, accesso esterno
bar-caffe',,VIA,FARINI CARLO,42,1114,9,somministrazione/minuto,somministrazione,al banco,bar-caffe';bar gastronomici e simili;giochi legge 388/2000;tavola fredda,48, 256, accesso esterno
bar-caffe',,VIA,FARINI CARLO,48,1114,9,somministrazione,somministrazione,misto,bar-caffe';prodotti di gastronomia;genere merceol.autorizz.sanit.;bar gastronomici e simili,87, 254, accesso esterno
bar-caffe',,VIA,FARINI CARLO,4,1114,9,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;tavola calda;bar-caffe'",56, 313, accesso esterno
bar-caffe',,VIA,FARINI CARLO,69,1114,9,somministrazione,somministrazione,misto,tavola fredda;bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati,67, 203, accesso esterno
bar-caffe',,VIA,FARINI CARLO,71,1114,9,somministrazione,somministrazione,al banco,bar-caffe';bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.,38, 203, accesso esterno
bar-caffe',,VIA,FARINI CARLO,73,1114,9,somministrazione/minuto,somministrazione,misto,elettr.automatici meccaniche;bar gastronomici e simili;bar-caffe';tavola calda,107, 203, accesso esterno
bar-caffe',,VIA,FATEBENEFRATELLI,15,144,1,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda;cibi cotti preconfezionati;bar gastronomici e simili,112, 093, accesso esterno
bar-caffe',,VIA,FAUCHE' GIOVANNI BATTISTA,37,7192,8,somministrazione/minuto,minuto,al banco,bar-caffe';giochi legge 388/2000;prodotti di gastronomia,49, 027, accesso esterno
bar-caffe',,VIA,FERRUCCI FRANCESCO,1,7150,8,somministrazione,somministrazione,al banco,"prodotti di gastronomia;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;bar-caffe';tavola fredda",59, 090, accesso esterno
bar-caffe',,VIA,FESTA DEL PERDONO,1,327,1,somministrazione,somministrazione,al banco,"bar-caffe';tavola calda;tav.calde,self service,fast f.;pizzeria;cibi cotti preconfezionati;genere merceol.autorizz.sanit.;tavola fredda",59, 323, accesso esterno
bar-caffe',,VIA,FIAMMA GALVANO,17,3079,4,somministrazione/minuto,somministrazione,al banco,genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati,55, 026, accesso esterno
bar-caffe',,VIA,FIAMMA GALVANO,20,3079,4,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.,18, 027, accesso esterno
bar-caffe',,VIA,FIAMMA GALVANO,6,3079,4,somministrazione,somministrazione,al banco,bar-caffe';cibi cotti preconfezionati;bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.,51, 037, accesso esterno
bar-caffe',,VIA,FILZI FABIO,23,1190,2,somministrazione,somministrazione,al banco,bar gastronomici e simili;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar-caffe',30, 306, accesso esterno
bar-caffe',,VIA,FIORAVANTI ARISTIDE,28,7236,8,somministrazione,somministrazione,al banco,bar-caffe',30, 065, accesso esterno
bar-caffe',,VIA,F.LLI ANTONA TRAVERSI,18,7354,8,somministrazione,somministrazione,misto,"bar-caffe';trattoria;pizzeria;tavola calda;ristorante, trattoria, osteria;giochi legge 388/2000",50, 061, accesso esterno
bar-caffe',,VIA,F.LLI ANTONA TRAVERSI,20,7354,8,somministrazione,somministrazione,al banco,prodotti di gastronomia;giochi legge 388/2000;tavola fredda;genere merceol.autorizz.sanit.;bar-caffe',56,, accesso esterno
bar-caffe',,VIA,F.LLI BRESSAN,44,2349,2,somministrazione,somministrazione,al banco,bar-caffe';bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.;cibi cotti preconfezionati,98, 095, accesso esterno
bar-caffe',,VIA,F.LLI BRONZETTI,26,3089,4,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda;cibi cotti preconfezionati;giochi legge 388/2000,50, 028, accesso esterno
bar-caffe',,VIA,F.LLI CAMPI,2,3060,1,somministrazione,somministrazione,misto,cibi cotti preconfezionati;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda,145, 068, accesso esterno
bar-caffe',,VIA,F.LLI FRASCHINI,6,4355,5,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili;bar-caffe',84,, accesso esterno
bar-caffe',,VIA,F.LLI INDUNO,17,7217,8,somministrazione,somministrazione,al banco,bar pasticc.gelat.crem.creper.;bar gastronomici e simili;prodotti di gastronomia;bar-caffe';tavola fredda,43, 032, accesso esterno
bar-caffe',,VIA,F.LLI POZZI,001/a,2480,2,somministrazione/minuto,somministrazione,al banco,"genere merceol.autorizz.sanit.;ristorante;bar-caffe';ristorante, trattoria, osteria",97, 173, accesso esterno
bar-caffe',,VIA,F.LLI ROSSELLI,15,4181,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe',41, 031, accesso esterno
bar-caffe',,VIA,F.LLI RUFFINI,9,6163,1,somministrazione,somministrazione,al banco,cibi cotti preconfezionati;gioco video;carte;bar-caffe';biliardo;tavola fredda,58, 145, accesso esterno
bar-caffe',,VIA,F.LLI ZANZOTTERA,12,6733,7,somministrazione/minuto,minuto,al banco,tavola fredda;bar-caffe';giochi legge 388/2000,41, 023, accesso esterno
bar-caffe',,VIA,F.LLI ZOIA,54,6306,7,somministrazione/minuto,somministrazione,al banco,bar gastronomici e simili;gioco video;bar-caffe';lett. giochi leciti e societa';tavola fredda;cibi cotti preconfezionati,76, 039, accesso esterno
bar-caffe',,VIA,F.LLI ZOIA,95,6306,7,somministrazione,somministrazione,al banco,gelateria;bar-caffe';genere merceol.autorizz.sanit.,25, 063, accesso esterno
bar-caffe',,VIA,FLUMENDOSA,10,2522,2,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;bar-caffe';ristorante, trattoria, osteria;tavola calda",97, 252, accesso esterno
bar-caffe',,VIA,FLUMENDOSA,34,2522,2,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';genere merceol.autorizz.sanit.,44, 249, accesso esterno
bar-caffe',,VIA,FONTANA,1,3058,1,somministrazione,somministrazione,al banco,prodotti di gastronomia;carte;tavola fredda;bar-caffe',40, 033, accesso esterno
bar-caffe',,VIA,FONTANA,3,3058,1,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.,25, 033, accesso esterno
bar-caffe',,VIA,FONTANA,8,3058,1,somministrazione,somministrazione,misto,tavola calda;bar-caffe';tavola fredda,28, 034, accesso esterno
bar-caffe',,VIA,FORLANINI CARLO,20,3171,3,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,62, 171, accesso esterno
bar-caffe',,VIA,FORLANINI CARLO,5,3171,3,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;prodotti di gastronomia;bar-caffe';bar gastronomici e simili;tavola fredda,35, 162, accesso esterno
bar-caffe',,VIA,FORNARI PASQUALE,50,6592,7,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';tavola fredda;cibi cotti preconfezionati,55, 020, accesso esterno
bar-caffe',,VIA,FORTEZZA,021/h,2449,2,somministrazione/minuto,somministrazione,misto,"ristorante, trattoria, osteria;tavola calda;bar-caffe';tavola fredda;cibi cotti preconfezionati",104, 020, accesso esterno
bar-caffe',,VIA,FOSCOLO UGO,5,205,1,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe',10, 415, accesso esterno
bar-caffe',,VIA,FRA' CRISTOFORO,1,5413,5,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda,33, 085, accesso esterno
bar-caffe',,VIA,FRA' GALGARIO,2,6607,7,somministrazione,somministrazione,al banco,tavola fredda;bar-caffe',60, 012, accesso interno
bar-caffe',,VIA,FREGUGLIA CARLO,4,3014,1,somministrazione,somministrazione,al banco,"genere merceol.autorizz.sanit.;bar-caffe';ristorante, trattoria, osteria;ristorante;tavola calda;tav.calde,self service,fast f.",194, 200, accesso esterno
bar-caffe',,VIA,FREIKOFEL,15,4367,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;pizzeria;ristorante;bar-caffe',61, 085,
bar-caffe',,VIA,FRISI PAOLO,11,2190,3,somministrazione,somministrazione,al banco,"tavola calda;bar-caffe';ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;tavola fredda",94, 142, accesso esterno
bar-caffe',,VIA,FRIULI,2,3199,4,somministrazione,somministrazione,al tavolo,genere merceol.autorizz.sanit.;bar-caffe';prodotti di gastronomia;bar gastronomici e simili;tavola calda;giochi legge 388/2000,93, 178, accesso esterno
bar-caffe',,VIA,GALLARATE,389,7420,8,somministrazione,somministrazione,misto,giochi legge 388/2000;genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili;bar-caffe',95, 101, accesso esterno
bar-caffe',,VIA, GALLARATE,034,7174,8,somministrazione,somministrazione,misto,"bar-caffe';genere merceol.autorizz.sanit.;ristorante;pizzeria;ristorante, trattoria, osteria",59, 230, accesso esterno
bar-caffe',,VIA,GALVANI LUIGI,15,1179,9,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe',29, 288, accesso esterno
bar-caffe',,VIA,GARIGLIANO,12,1134,9,somministrazione,somministrazione,al banco,"bar-caffe';genere merceol.autorizz.sanit.;trattoria;ristorante, trattoria, osteria",87, 278, accesso esterno
bar-caffe',,VIA,GAROFALO,21,2194,3,somministrazione/minuto,somministrazione,al banco,tavola fredda;bar gastronomici e simili;giochi legge 388/2000;prodotti di gastronomia;bar-caffe',31, 090, accesso esterno
bar-caffe',,VIA,GENTILINO,15,5204,5,somministrazione,somministrazione,al banco,"genere merceol.autorizz.sanit.;bar-caffe';ristorante, trattoria, osteria;trattoria",69, 095, accesso esterno
bar-caffe',,VIA,GIAMBELLINO,144,5136,6,somministrazione/minuto,somministrazione,al banco,genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar gastronomici e simili;tavola fredda;bar-caffe',35, 136, accesso esterno
bar-caffe',,VIA,GIAMBELLINO,57,5136,6,somministrazione,somministrazione,misto,tavola fredda;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;cibi cotti preconfezionati,95, 161, accesso esterno
bar-caffe',,VIA,GIAMBELLINO,58,5136,6,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.,73, 146, accesso esterno
bar-caffe',,VIA,GIAMBELLINO,5,5136,6,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili,45,, accesso esterno
bar-caffe',,VIA,GIAMBELLINO,64,5136,6,somministrazione,somministrazione,al banco,tavola fredda;bar gastronomici e simili;prodotti di gastronomia;bar-caffe',69, 146, accesso esterno
bar-caffe',,VIA,GIAMBELLINO,80,5136,6,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;tavola fredda,63, 122, accesso esterno
bar-caffe',,VIA,GIAMPIETRINO,21,7333,9,somministrazione,somministrazione,misto,"bar-caffe';genere merceol.autorizz.sanit.;ristorante;tavola fredda;pizzeria;ristorante, trattoria, osteria",156, 019, accesso esterno
bar-caffe',,VIA,GIOIA MELCHIORRE,133,1108,2,somministrazione,somministrazione,misto,bar gastronomici e simili;genere merceol.autorizz.sanit.;prodotti di gastronomia;bar-caffe';tavola fredda,62, 126, accesso esterno
bar-caffe',,VIA,GIOIA MELCHIORRE,53,1108,2,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;pizzeria;trattoria;ristorante, trattoria, osteria",105, 239, accesso esterno
bar-caffe',,VIA,GIOVANNI DA MILANO,17,3253,3,somministrazione,somministrazione,al banco,tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe',25, 186, accesso esterno
bar-caffe',,VIA,GIUSTI GIUSEPPE,14,7127,1,somministrazione,somministrazione,misto,bar-caffe';cibi cotti preconfezionati;tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili,44, 114, accesso esterno
bar-caffe',,VIA,GIUSTI GIUSEPPE,41,7127,1,somministrazione,somministrazione,misto,"ristorante;genere merceol.autorizz.sanit.;bar-caffe';ristorante, trattoria, osteria",113, 111, accesso esterno
bar-caffe',,VIA,GLUCK CRISTOFORO,5,1215,2,somministrazione,somministrazione,al banco,bar pasticc.gelat.crem.creper.;genere merceol.autorizz.sanit.;bar-caffe',50, 151, accesso esterno
bar-caffe',,VIA,GOLA EMILIO,31,5154,6,somministrazione,somministrazione,al banco,carte;tavola fredda;elettr.automatici meccaniche;bar-caffe';prodotti di gastronomia,28, 078, accesso esterno
bar-caffe',,VIA,GOLDONI CARLO,77,3183,3,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';prodotti di gastronomia;tavola fredda,80, 182, accesso esterno
bar-caffe',,VIA,GOLFO DEGLI ARANCI,12,2463,2,somministrazione,somministrazione,al banco,"pizzeria;bar-caffe';tavola fredda;tav.calde,self service,fast f.;bar pasticc.gelat.crem.creper.;tavola calda;genere merceol.autorizz.sanit.",110, 216, accesso esterno
bar-caffe',,VIA,GOLFO DEGLI ARANCI,22,2463,2,somministrazione,somministrazione,al banco,bar gastronomici e simili;tavola fredda;cibi cotti preconfezionati;bar-caffe',54, 211, accesso esterno
bar-caffe',,VIA,GOVONE GIUSEPPE,35,7222,8,somministrazione/minuto,somministrazione,misto,bar-caffe',58, 010, accesso esterno
bar-caffe',,VIA,GOZZOLI BENOZZO,130,6789,7,somministrazione,somministrazione,al banco,"bar-caffe';genere merceol.autorizz.sanit.;tavola calda;pizzeria;tav.calde,self service,fast f.",167,, accesso interno
bar-caffe',,VIA,GRAN SAN BERNARDO,6,7218,8,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';prodotti di gastronomia;genere merceol.autorizz.sanit.;tavola fredda,30, 017, accesso esterno
